key,peak,mean,std,slope_up,height_up,width_up,angle_up,slope_down,height_down,width_down,angle_down,variation,cc_avg,cc_std,peak_avg,peak_std,begin,up_start,max,down_start,end,food_item
0806_2018_084_012,69,67.44444444,1.422916497,1.3,4,3,53.13010235,-0.9,3,3,45,4,3,0,69,0,7,7,10,12,15,219 French Toast and Coffee
0830_2018_094_006,66,63.83333333,2.19215774,2.5,5,2,68.19859051,-4,4,1,75.96375653,5,5,2.160246899,66,0,2,2,4,6,7,220 Oatmeal Raisin Cookies (Tates) 4 pieces and hot coffee
0915_2018_066_006,65,62.14285714,1.958758457,2.5,5,2,68.19859051,-1.6,5,3,59.03624347,5,4.5,2.5,66,1,6,6,8,9,12,221 Blueberry smoothie and sliced apple
0916_2018_116_002,69,67.15384615,1.874778093,1.1,5,4,51.34019175,-1.057142857,5,5,45,11,8,3.082207001,67.5,1.118033989,0,16,20,23,28,222 Breakfast Burrito and coffee
0922_2018_105_001,62,61,0.816496581,2,2,1,63.43494882,-0.6,2,3,33.69006753,2,6.333333333,3.858612301,61.66666667,0.471404521,0,0,1,2,5,223 Breakfast Burrito (Rooster Cafe)
0923_2018_108_002,77,68.7,6.277738446,6,12,2,80.53767779,-3.257142857,17,5,73.61045967,13,10.33333333,4.18993503,69,5.715476066,0,7,9,11,16,224 Cinamon Rasin Bagel with Blueberry Cream and coffee (Eistein)
0925_2018_078_012,66,64.18181818,1.402477147,0.5,4,6,33.69006753,-2,4,2,63.43494882,4,6.5,0.5,65.5,0.5,0,0,6,8,10,225 tea and 2 waffle coockies
0927_2018_106_002,68,66.28571429,3.17194333,5,10,2,78.69006753,-3,9,3,71.56505118,9,3,2,65,3,0,4,6,14,17,226 americano and cinnamon rasin bagel with bluberry cream cheese
1001_2018_084_006,62,59.15789474,2.56008137,0.952380952,7,7,45,-0.988095238,7,7,45,7,12,5,63,1,1,1,8,12,19,227 Tea and Mocha bread
1002_2018_101_003,60,57.46153846,1.393136175,0.490909091,5,9,29.0546041,-1,3,3,45,5,9,0,60,0,2,2,11,11,14,228 Coffee and Rice cake and banana
1004_2018_093_002,65,63.77777778,3.4084137,3.6,10,3,73.30075577,-2.2,9,4,66.03751103,10,3,0,65,0,5,5,8,18,22,229 bread with blue berry cream cheese and banana and tea
1009_2018_087_004,68,64.06666667,2.792052212,0.8,9,8,48.36646066,-2.1,8,4,63.43494882,9,8,0,68,0,5,5,13,15,19,230 Chicken Juk
1008_2018_085_002,69,63.82352941,2.431056273,0.494505495,10,12,39.80557109,-1.6,5,3,59.03624347,10,12,0,69,0,0,0,12,13,16,231 Chicken Juk
1013_2018_089_020,60,58.77777778,1.98761598,3,6,2,71.56505118,-2,2,1,63.43494882,6,5.333333333,2.494438258,61,0.816496581,3,3,5,10,11,232 Pancake and apple and orange juice
1015_2018_092_004,62,59.75,2.586020108,1.8,8,4,63.43494882,-2,2,1,63.43494882,8,8.5,4.5,62,0,3,3,7,9,10,233 Sweet Potato
1016_2018_084_004,61,59.5,1.565247584,1.5,3,2,56.30993247,-1,5,4,51.34019175,4,5,0,61,0,2,5,7,10,14,234 Orange Juice and Sweet Potato and banana
1019_2018_090_008,67,65.18181818,3.809513971,12,12,1,85.23635831,-2.4,7,3,66.80140949,14,3,0,67,0,0,2,3,9,12,235 white bread with strawberry jam
1020_2018_090_010,62,59.55555556,1.706921277,1.8,5,3,59.03624347,-0.8,5,5,45,5,3,0,62,0,6,6,9,9,14,236 apple and sweet potato
1023_2018_084_010,66,62.54545455,2.349608724,0.845454545,10,10,45,-0.472727273,6,10,30.96375653,10,10,0,66,0,0,0,10,11,21,237 Mixed Nuts and brewed coffee
1028_2018_117_008,66,63.66666667,1.885618083,1.3,4,3,53.13010235,-5,5,1,78.69006753,6,14,0,66,0,0,11,14,15,16,238 Coffee and pancake
1030_2018_094_002,62,58.41176471,2.059663694,0.933333333,7,8,41.18592517,-0.65,6,8,36.86989765,7,8,0,62,0,2,2,10,10,18,239 Tea and shu
1103_2018_132_001,63,61.6,1.113552873,1,3,3,45,-0.7,3,4,36.86989765,5,4.5,3.5,62.5,0.5,0,6,9,11,15,240 Bread and coffee and apple
1106_2018_095_003,60,54.6,3.929376541,1.476190476,11,7,57.52880771,-2.2,11,5,65.55604522,11,4.5,3.5,56.5,3.5,4,6,13,15,20,241 Coffee and Toast
1107_2018_104_000,60,57.55555556,1.640535896,2.5,5,2,68.19859051,-0.742857143,4,5,38.65980825,5,9,7,59,1,2,2,4,5,10,242 Uong cha and sweet potato
1108_2018_083_012,66,60.03225806,3.763010728,1.052447552,13,11,49.76364169,-0.668131868,13,13,45,13,11,0,66,0,0,0,11,17,30,243 Coffee and Toast
1115_2018_093_005,63,60.6,2.457641145,4,8,2,75.96375653,-0.535714286,6,6,45,8,7.5,5.5,64,1,9,9,11,12,18,244 Daechoo tea and banana
1127_2018_105_000,65.0,62.1578947368421,3.375814254910437,1.6666666666666667,10.0,7,55.00797980144134,-3.0,6.0,2,71.56505117707799,11.0,9.0,0.0,65.0,0.0,0,2,9,18,20,245 Coffee and pizza
1128_2018_085_006,64.0,59.608695652173914,3.909176833563308,10.0,10.0,1,84.28940686250036,-1.172727272727273,11.0,10,47.72631099390627,10.0,3.0,2.0,63.5,0.5,0,0,1,12,22,246 coffee and banana and bread and jam
1129_2018_093_006,62.0,60.57142857142857,1.3997084244475304,0.6000000000000001,3.0,4,36.86989764584402,-4.0,4.0,1,75.96375653207353,3.0,4.0,0.0,62.0,0.0,4,4,8,9,10,247 Banana and bread and coffee
