key,peak,mean,std,slope_up,height_up,width_up,angle_up,slope_down,height_down,width_down,angle_down,variation,cc_avg,cc_std,peak_avg,peak_std,begin,up_start,max,down_start,end,food_item
1031_2018_139_000,81,74.18181818,5.236553027,2.214285714,16,7,66.37062227,-6.5,13,2,81.25383774,21,8.666666667,3.399346342,78,3.559026084,3,12,19,20,22,116 Kimchi Fried Rice
1103_2018_139_012,71,70,1.414213562,2,4,2,63.43494882,-1,1,1,45,8,7.5,1.5,70,1,3,16,18,20,21,117 Pad Thai and Chicken
1106_2018_134_002,66,63.1,2.547547841,0.714285714,6,7,40.60129465,-4,8,2,75.96375653,6,8.5,1.5,64,2,0,0,7,7,9,118 Galbi
1109_2018_121_016,65,63.55555556,1.257078722,2,2,1,63.43494882,-0.571428571,4,6,33.69006753,2,5.5,4.5,64,1,5,5,6,7,13,119 Kimchi Jjigae
1113_2018_150_000,77,72.25,3.269174208,2.4,10,4,68.19859051,-3,6,2,71.56505118,10,4,0,77,0,20,20,24,25,27,120 Panda
1114_2018_138_006,68,62.25,3.051638904,0.523076923,12,13,42.70938996,-2,2,1,63.43494882,12,13,0,68,0,0,0,13,14,15,121 Suyook
1115_2018_143_004,70,65.72727273,3.386897456,2.7,11,4,70.01689348,-1.357142857,8,6,53.13010235,11,6.5,2.5,65.5,2.958039892,0,0,4,4,10,122 Poke (salmon and tuna)
1126_2018_089_032,62,60.76923077,1.760849714,1.8,6,3,63.43494882,-2,4,2,63.43494882,6,3,0,62,0,4,4,7,14,16,123 fried rice
1127_2018_148_000,65.0,61.10526315789474,2.7124418372052896,0.5363636363636364,10.0,10,45.0,-1.4285714285714284,9.0,6,56.309932474020215,10.0,15.0,5.0,63.5,1.5,3,3,13,15,21,124 Poke (salmon and tuna)
1129_2018_093_024,62.0,60.91304347826087,2.185188151848533,4.0,8.0,2,75.96375653207353,-1.4,4.0,3,53.13010235415598,8.0,2.0,0.0,62.0,0.0,0,0,2,19,22,125 Teriyaki Chicken
1006_2018_258_000,69,63.58333333,3.067527053,1.178571429,10,6,59.03624347,-2.2,9,4,66.03751103,10,6,0,69,0,7,7,13,14,18,126 Chicken Juk
1005_2018_232_003,68,66.125,1.363589014,0.383333333,5,8,32.00538321,-0.8,4,4,45,9,11.33333333,7.40870359,66.66666667,0.942809042,3,19,27,30,34,127 Costco Roasted Chicken
1004_2018_213_015,82,73.57575758,4.892977671,0.880882353,22,15,55.71312302,-0.950980392,15,16,43.15238973,22,7.5,5.5,78,4,4,4,19,20,36,128 Doenjang jjigae and buchu jeon and chicken wing 1 pcs
1003_2018_230_008,73,70.60869565,2.390909058,0.854545455,11,9,50.71059314,-1.8,6,3,63.43494882,11,14,5,73.5,0.5,3,3,12,22,25,129 Chichken wings
1002_2018_220_014,91,86.44444444,4.258615088,1.916666667,15,7,64.98310652,-0.903030303,9,9,45,26,11.66666667,1.247219129,82.33333333,6.12825877,0,28,35,36,45,130 Beer and nacho and guacamole
1002_2018_220_010,74,71.14285714,2.899683304,2,10,4,68.19859051,-0.678571429,6,7,40.60129465,15,8.25,3.418698583,69.75,3.031088913,3,14,18,20,27,131 galbi and buchoo and myulchi bokkeum and jinmi chae
1001_2018_238_000,70,68.05882353,2.387974486,1.742857143,9,5,60.9453959,-0.511904762,5,7,35.53767779,9,9.5,4.5,70.5,0.5,3,3,8,12,19,132 Spring mix and mulchi bbokgum and jinmi chae and fried salmon with onion and mayo mustard sauce
0930_2018_219_016,73,68.73076923,3.346153846,0.459398496,12,19,32.27564431,-2.457142857,12,5,67.38013505,12,19,0,73,0,0,0,19,20,25,133 Galbi and buchu
0929_2018_260_008,66,62.16666667,2.266911751,2.6,8,3,69.44395478,-0.714285714,6,7,40.60129465,8,3,0,66,0,2,2,5,6,13,134 Egg Drop Soup
0928_2018_207_014,78,69.48,4.281308211,0.771929825,19,17,48.17983012,-2,13,6,65.22485943,19,17,0,78,0,0,0,17,18,24,135 Dumpling soup
0925_2018_215_005,80,76.09090909,4.032922366,5.5,11,2,79.69515353,-5.5,11,2,79.69515353,19,8.5,2.5,78,2,2,17,19,25,27,136 Soybean stew and spicy pork and myulchi bokkeum
0924_2018_227_000,107,88.8,12.98563309,2.114285714,42,20,64.53665494,-1,11,8,53.97262661,51,16,7,87,20,4,16,36,37,45,137 beer (Blue moon) and mod pizza
0922_2018_215_003,64,62.8,1.2489996,0.9,4,4,45,-1,2,2,45,4,4,0,64,0,4,4,8,11,13,138 Bibimbap and kimchi jjim
0921_2018_207_011,77,75,1.58113883,1.5,5,3,59.03624347,-0.43030303,5,9,29.0546041,6,10,0,77,0,2,9,12,15,24,139 Kimchi Jjim
0918_2018_233_005,85,81.85714286,2.948538206,1.6,8,5,57.99461679,0,0,0,0,22,11,4.966554809,80.66666667,3.091206165,3,31,36,37,37,140 Pasta (thin pork belly olive oil garlic) and beer
0917_2018_221_004,72,69.5,2.163000561,1.5,7,4,60.2551187,-0.716666667,7,8,41.18592517,11,4.333333333,2.494438258,69.33333333,2.054804668,0,9,13,14,22,141 Spicy Pork
0915_2018_217_003,84,80.375,3.515590278,2.285714286,11,5,65.55604522,-2.3,9,4,66.03751103,11,5,0,84,0,2,2,7,13,17,142 Fried Tofu and Mulchi bbokgum and soy sauce
